sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9668412995119219
6.9,3.1,5.1,2.3,virginica,0.9644236760332238
5.1,2.5,3.0,1.1,versicolor,0.9560480604376437
4.4,2.9,,0.2,setosa,0.6226748890883123
5.9,3.0,5.1,1.8,virginica,0.7571218326574475
5.5,3.5,1.3,0.2,setosa,0.9602938160652446
5.6,,3.6,1.3,versicolor,0.9468113245859883
6.5,3.0,5.2,2.0,virginica,0.944866961416086
5.3,3.7,1.5,0.2,setosa,0.9670619387150456
5.1,3.4,1.5,,setosa,0.8093958980127302
6.1,2.8,4.0,1.3,versicolor,0.9804604170203179
5.5,2.4,3.7,1.0,versicolor,0.9808016457370085
7.7,3.0,6.1,2.3,virginica,0.9597389655608316
6.9,3.1,4.9,1.5,versicolor,0.7505068685853653
6.0,2.2,5.0,1.5,versicolor,0.5967081410674533
